# === Personas ===
# Información sobre las personas (empleados) y sus roles dentro de proyectos.

# Persona 1: Laura Perez
# Laura Perez tiene como instancia ser empleado.
q9:persona1 wdt:P31 q9:empleado . 
# Laura Perez tiene la ocupación de desarrollador.
q9:persona1 wdt:P106 q9:desarrollador . 
# Laura Perez tiene la habilidad de programación.
q9:persona1 t9:habilidad q9:programacion . 
# Laura Perez trabaja en el proyecto 1.
q9:persona1 t9:trabajaEn q9:proyecto1 . 
# El nombre de la persona 1 es Laura Perez.
q9:persona1 t9:nombre "Laura Perez" . 
# Laura Perez está ubicada en la oficina A.
q9:persona1 wdt:P276 q9:oficinaA . 

# Persona 2: Carlos Sanchez
# Carlos Sanchez tiene como instancia ser empleado.
q9:persona2 wdt:P31 q9:empleado . 
# Carlos Sanchez tiene la ocupación de gestor de proyectos.
q9:persona2 wdt:P106 q9:gestorProyectos . 
# Carlos Sanchez tiene la habilidad de gestión de proyectos.
q9:persona2 t9:habilidad q9:gestionProyectos . 
# Carlos Sanchez trabaja en el proyecto 1.
q9:persona2 t9:trabajaEn q9:proyecto1 . 
# Carlos Sanchez supervisa a Laura Perez.
q9:persona2 t9:supervisa q9:persona1 . 
# El nombre de la persona 2 es Carlos Sanchez.
q9:persona2 t9:nombre "Carlos Sanchez" . 
# Carlos Sanchez está ubicado en la oficina B.
q9:persona2 wdt:P276 q9:oficinaB . 

# Persona 3: Ana Martinez
# Ana Martinez tiene como instancia ser empleado.
q9:persona3 wdt:P31 q9:empleado . 
# Ana Martinez tiene la ocupación de analista.
q9:persona3 wdt:P106 q9:analista . 
# Ana Martinez tiene la habilidad de análisis de datos.
q9:persona3 t9:habilidad q9:analisisDatos . 
# Ana Martinez trabaja en el proyecto 2.
q9:persona3 t9:trabajaEn q9:proyecto2 . 
# El nombre de la persona 3 es Ana Martinez.
q9:persona3 t9:nombre "Ana Martinez" . 
# Ana Martinez está ubicada en la oficina B.
q9:persona3 wdt:P276 q9:oficinaB . 

# Persona 4: Ricardo Gomez
# Ricardo Gomez tiene como instancia ser empleado.
q9:persona4 wdt:P31 q9:empleado . 
# Ricardo Gomez tiene la ocupación de diseñador.
q9:persona4 wdt:P106 q9:disenador . 
# Ricardo Gomez tiene la habilidad de diseño gráfico.
q9:persona4 t9:habilidad q9:disenoGrafico . 
# Ricardo Gomez trabaja en el proyecto 2.
q9:persona4 t9:trabajaEn q9:proyecto2 . 
# El nombre de la persona 4 es Ricardo Gomez.
q9:persona4 t9:nombre "Ricardo Gomez" . 
# Ricardo Gomez está ubicado en la oficina C.
q9:persona4 wdt:P276 q9:oficinaC . 

# Persona 5: Maria Torres
# Maria Torres tiene como instancia ser empleado.
q9:persona5 wdt:P31 q9:empleado . 
# Maria Torres tiene la ocupación de consultor.
q9:persona5 wdt:P106 q9:consultor . 
# Maria Torres tiene la habilidad de consultoría.
q9:persona5 t9:habilidad q9:consultoria . 
# Maria Torres trabaja en el proyecto 3.
q9:persona5 t9:trabajaEn q9:proyecto3 . 
# El nombre de la persona 5 es Maria Torres.
q9:persona5 t9:nombre "Maria Torres" . 
# Maria Torres está ubicada en la oficina C.
q9:persona5 wdt:P276 q9:oficinaC . 

# Persona 6: Javier Lopez
# Javier Lopez tiene como instancia ser empleado.
q9:persona6 wdt:P31 q9:empleado . 
# Javier Lopez tiene la ocupación de ingeniero de datos.
q9:persona6 wdt:P106 q9:ingenieroDatos . 
# Javier Lopez tiene la habilidad de ingeniería de datos.
q9:persona6 t9:habilidad q9:ingenieriaDatos . 
# Javier Lopez trabaja en el proyecto 3.
